Measure Mode: wall_time
Thread ID: 70253057271520
Fiber ID: 70253062259540
Total: 2.880588
Sort by: self_time

 %self      total      self      wait     child     calls  name
 39.30      2.699     1.132     0.000     1.567        1   String#each_char 
 19.87      0.573     0.572     0.000     0.001  2397780  *Hash#[] 
 11.85      0.505     0.341     0.000     0.164  1198549   Fixnum#== 
 10.84      0.313     0.312     0.000     0.001  1198931   Hash#[]= 
  6.17      0.178     0.178     0.000     0.000  1198832   Fixnum#+ 
  5.70      0.164     0.164     0.000     0.000  1202617   BasicObject#== 
  0.33      0.034     0.009     0.000     0.024       74   Kernel#eval 
  0.22      2.706     0.006     0.000     2.700        1   Object#get_count 
  0.15      0.007     0.004     0.000     0.002      510   <Class::Pry::Command>#command_regex 
  0.14      0.004     0.004     0.000     0.000      965   Regexp#=~ 
  0.12      0.003     0.003     0.000     0.000       76   <Class::IO>#read 
  0.07      0.171     0.002     0.000     0.169      161  *Kernel#gem_original_require 
  0.06      0.002     0.002     0.000     0.000      442   String#scan 
  0.06      0.002     0.002     0.000     0.000     7978   Module#=== 
  0.04      0.001     0.001     0.000     0.000      815   Array#flatten 
  0.04      0.001     0.001     0.000     0.000        3   Kernel#require_relative 
  0.04      0.024     0.001     0.000     0.023       74   Gem::Specification#initialize 
  0.04      0.001     0.001     0.000     0.000     2220   Kernel#instance_variable_set 
  0.04      0.002     0.001     0.000     0.000      624   Array#map 
  0.04      0.002     0.001     0.000     0.001     3996   Kernel#=== 
  0.03      0.005     0.001     0.000     0.004     2315  *Array#hash 
  0.03      0.105     0.001     0.000     0.104      640  *Array#each 
  0.03      0.002     0.001     0.000     0.001     1853   Kernel#dup 
  0.03      0.001     0.001     0.000     0.000      509   String#=~ 
  0.03      0.001     0.001     0.000     0.000     2336   Symbol#to_s 
  0.03      0.001     0.001     0.000     0.000       15   Module#module_eval 
  0.03      0.005     0.001     0.000     0.004      276   Gem::Dependency#initialize 
  0.03      0.001     0.001     0.000     0.000      199   <Class::File>#file? 
  0.02      0.003     0.001     0.000     0.002      385   <Class::Gem::Requirement>#parse 
  0.02      0.001     0.001     0.000     0.000      321   MonitorMixin#mon_enter 
  0.02      0.001     0.001     0.000     0.000     1122   Kernel#respond_to? 
  0.02      0.001     0.001     0.000     0.000      284   IO#set_encoding 
  0.02      0.001     0.001     0.000     0.000     2776   String#hash 
  0.02      0.001     0.001     0.000     0.000     1480   Gem::Specification#default_value 
  0.02      0.001     0.001     0.000     0.001     1020   <Class::Pry::Command>#convert_to_regex 
  0.02      0.001     0.001     0.000     0.001     1855   Kernel#initialize_dup 
  0.02      0.001     0.001     0.000     0.000     3082   Fixnum#^ 
  0.02      0.002     0.001     0.000     0.002      427   Gem::Version#initialize 
  0.02      0.001     0.000     0.000     0.000      810   <Class::Pry::Command>#match 
  0.02      0.005     0.000     0.000     0.004      368   Gem::Requirement#initialize 
  0.02      0.001     0.000     0.000     0.000      321   MonitorMixin#mon_exit 
  0.02      0.001     0.000     0.000     0.000      641   <Class::Pry::Command>#command_options 
  0.02      0.000     0.000     0.000     0.000     1407   String#to_i 
  0.02      0.000     0.000     0.000     0.000      974   <Class::Regexp>#escape 
  0.01      0.001     0.000     0.000     0.000       70   <Class::Time>#utc 
  0.01      0.007     0.000     0.000     0.006      276   Gem::Specification#add_dependency_with_type 
  0.01      0.011     0.000     0.000     0.010       40   Array#select 
  0.01      0.010     0.000     0.000     0.010      498   <Class::Pry::Command>#matches? 
  0.01      0.037     0.000     0.000     0.036       74   <Class::Gem::Specification>#load 
  0.01      0.000     0.000     0.000     0.000     1629   Module#method_added 
  0.01      0.000     0.000     0.000     0.000     1831   String#to_s 
  0.01      0.000     0.000     0.000     0.000      101   Array#uniq 
  0.01      0.003     0.000     0.000     0.003      296   Gem::Dependency#hash 
  0.01      0.003     0.000     0.000     0.003      562   Gem::Version#hash 
  0.01      0.000     0.000     0.000     0.000        4   <Class::Dir>#[] 
  0.01      0.003     0.000     0.000     0.003      368   Array#map! 
  0.01      0.000     0.000     0.000     0.000      265   Module#define_method 
  0.01      0.004     0.000     0.000     0.004      368   <Class::Gem::Requirement>#create 
  0.01      0.003     0.000     0.000     0.003      459   Gem::Version#segments 
  0.01      0.000     0.000     0.000     0.000      501   String#strip 
  0.01      0.000     0.000     0.000     0.000     1648   Kernel#hash 
  0.01      0.000     0.000     0.000     0.000       73   <Class::Pry::Command>#default_options 
  0.01      0.002     0.000     0.000     0.001       75   Gem::Version#<=> 
  0.01      0.000     0.000     0.000     0.000      321   MonitorMixin#mon_check_owner 
  0.01      0.025     0.000     0.000     0.025     1188  *Class#new 
  0.01      0.001     0.000     0.000     0.001      427   <Class::Gem::Version>#correct? 
  0.01      0.000     0.000     0.000     0.000      993   Kernel#respond_to_missing? 
  0.01      0.000     0.000     0.000     0.000      150   String#gsub 
  0.01      0.000     0.000     0.000     0.000      725   String#initialize_copy 
  0.01      0.000     0.000     0.000     0.000        1   Array#sort! 
  0.01      0.000     0.000     0.000     0.000       48   Pry::CommandSet#[]= 
  0.01      0.000     0.000     0.000     0.000      963   <Class::Thread>#current 
  0.01      0.001     0.000     0.000     0.001      160   <Module::Gem>#find_unresolved_default_spec 
  0.01      0.000     0.000     0.000     0.000       56   Module#attr_accessor 
  0.01      0.000     0.000     0.000     0.000      893   Array#initialize_copy 
  0.01      0.000     0.000     0.000     0.000       74   Gem::Specification#loaded_from= 
  0.01      0.003     0.000     0.000     0.003      462   Gem::Requirement#hash 
  0.01      0.001     0.000     0.000     0.001       51   <Class::Pry::ClassCommand>#inherited 
  0.01      0.000     0.000     0.000     0.000       55   Module#attr_reader 
  0.01      0.000     0.000     0.000     0.000      404   Gem::Specification#dependencies 
  0.01      0.000     0.000     0.000     0.000      853   Kernel#class 
  0.01      0.000     0.000     0.000     0.000       86   <Class::File>#join 
  0.00      0.000     0.000     0.000     0.000      390   Gem::Dependency#type 
  0.00      0.001     0.000     0.000     0.001       70   Gem::Specification#date= 
  0.00      0.000     0.000     0.000     0.000       77   Gem::Version#prerelease? 
  0.00      0.000     0.000     0.000     0.000       75   Gem::Specification#full_name 
  0.00      0.000     0.000     0.000     0.000      694   Fixnum#<=> 
  0.00      0.000     0.000     0.000     0.000      321   Mutex#lock 
  0.00      0.000     0.000     0.000     0.000      321   Mutex#unlock 
  0.00      0.001     0.000     0.000     0.001      101   Gem::Specification#files 
  0.00      0.000     0.000     0.000     0.000      339   Gem::Dependency#requirement 
  0.00      0.005     0.000     0.000     0.005      208   Gem::Specification#add_development_dependency 
  0.00      0.001     0.000     0.000     0.001       74   Gem::Specification#version= 
  0.00      0.000     0.000     0.000     0.000      368   Array#uniq! 
  0.00      0.000     0.000     0.000     0.000      396   Numeric#nonzero? 
  0.00      0.001     0.000     0.000     0.000       16   Enumerable#sort_by 
  0.00      0.000     0.000     0.000     0.000      200   <Module::Gem>#suffixes 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#add_bindir 
  0.00      0.000     0.000     0.000     0.000        1   Module#initialize_copy 
  0.00      0.000     0.000     0.000     0.000       88   Hash#initialize_copy 
  0.00      0.000     0.000     0.000     0.000       74   Kernel#binding 
  0.00      0.011     0.000     0.000     0.011       12   Pry::CommandSet#alias_command 
  0.00      0.000     0.000     0.000     0.000       25   Class#initialize 
  0.00      0.000     0.000     0.000     0.000       21   <Class::Pry::Command>#subclass 
  0.00      0.000     0.000     0.000     0.000      362   Kernel#Array 
  0.00      0.000     0.000     0.000     0.000      113   Hash#merge! 
  0.00      0.000     0.000     0.000     0.000        5   Hash#each 
  0.00      0.000     0.000     0.000     0.000       74   Gem::Specification#invalidate_memoized_attributes 
  0.00      0.000     0.000     0.000     0.000      380   BasicObject#singleton_method_added 
  0.00      0.000     0.000     0.000     0.000      152   <Class::Pry::Command>#description 
  0.00      0.000     0.000     0.000     0.000      368   Array#compact! 
  0.00      0.000     0.000     0.000     0.000      136   Kernel#lambda 
  0.00      0.000     0.000     0.000     0.000      178   Gem::Specification#platform 
  0.00      0.000     0.000     0.000     0.000      290   Array#last 
  0.00      0.000     0.000     0.000     0.000        2   Module#instance_methods 
  0.00      0.000     0.000     0.000     0.000      282   Array#include? 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#test_files 
  0.00      0.000     0.000     0.000     0.000      114   Array#== 
  0.00      0.000     0.000     0.000     0.000       74   Gem::Specification#summary= 
  0.00      0.000     0.000     0.000     0.000       79   Array#join 
  0.00      0.000     0.000     0.000     0.000       47   Regexp#to_s 
  0.00      0.001     0.000     0.000     0.001       74   <Class::Gem::Version>#create 
  0.00      0.000     0.000     0.000     0.000      165   <Class::Gem::Specification>#unresolved_deps 
  0.00      0.000     0.000     0.000     0.000      396   String#<=> 
  0.00      0.000     0.000     0.000     0.000       70   Enumerable#grep 
  0.00      0.000     0.000     0.000     0.000      299   Kernel#untaint 
  0.00      0.000     0.000     0.000     0.000       65   Module#include 
  0.00      0.010     0.000     0.000     0.010       83   Enumerable#inject 
  0.00      0.001     0.000     0.000     0.001       14   Forwardable#def_instance_delegator 
  0.00      0.000     0.000     0.000     0.000      136   <Class::Delegator>#delegating_block 
  0.00      0.000     0.000     0.000     0.000       18   Hash#values 
  0.00      0.000     0.000     0.000     0.000       19   Pry::CommandSet#block_command 
  0.00      0.000     0.000     0.000     0.000      180   Kernel#nil? 
  0.00      0.000     0.000     0.000     0.000       76   Gem::Requirement#to_s 
  0.00      0.002     0.000     0.000     0.001       60   Comparable#>= 
  0.00      0.000     0.000     0.000     0.000      280   Array#first 
  0.00      0.000     0.000     0.000     0.000       70   Gem::Specification#authors= 
  0.00      0.000     0.000     0.000     0.000       81   String#inspect 
  0.00      0.000     0.000     0.000     0.000      248   String#== 
  0.00      0.000     0.000     0.000     0.000      140   Fixnum#divmod 
  0.00      0.000     0.000     0.000     0.000      396   Fixnum#zero? 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#extensions 
  0.00      0.000     0.000     0.000     0.000      118   Class#inherited 
  0.00      0.010     0.000     0.000     0.010       83   Gem::Specification#hash 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#authors 
  0.00      0.000     0.000     0.000     0.000       48   Pry::CommandSet#add_command 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#licenses 
  0.00      0.000     0.000     0.000     0.000       65   Module#append_features 
  0.00      0.000     0.000     0.000     0.000      170   Symbol#== 
  0.00      0.000     0.000     0.000     0.000      279   Array#pop 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#rdoc_options 
  0.00      0.000     0.000     0.000     0.000        4   IO#write 
  0.00      0.000     0.000     0.000     0.000       83   Hash#hash 
  0.00      0.000     0.000     0.000     0.000       12   <Class::Pry::Command>#match_score 
  0.00      2.881     0.000     0.000     2.881        2   Global#[No method] 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#date 
  0.00      0.000     0.000     0.000     0.000        1   Hash#to_s 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#requirements 
  0.00      0.002     0.000     0.000     0.002       68   Gem::Specification#add_runtime_dependency 
  0.00      0.000     0.000     0.000     0.000       25   Module#class_eval 
  0.00      0.000     0.000     0.000     0.000      148   Kernel#initialize_copy 
  0.00      0.000     0.000     0.000     0.000       90  *Gem::Specification#full_gem_path 
  0.00      0.000     0.000     0.000     0.000       70   Gem::Specification#required_rubygems_version= 
  0.00      0.000     0.000     0.000     0.000       48   BasicObject#!= 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#executables 
  0.00      0.001     0.000     0.000     0.001       40   Gem::Specification#contains_requirable_file? 
  0.00      0.000     0.000     0.000     0.000      222   String#=== 
  0.00      0.000     0.000     0.000     0.000       83   Time#hash 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#extra_rdoc_files 
  0.00      0.000     0.000     0.000     0.000       76   Gem::Requirement#as_list 
  0.00      0.000     0.000     0.000     0.000       81   Kernel#block_given? 
  0.00      0.000     0.000     0.000     0.000       60   <Class::Pry::Command>#group 
  0.00      0.000     0.000     0.000     0.000        1   Module#public_instance_methods 
  0.00      0.000     0.000     0.000     0.000       67   Gem::Specification#description= 
  0.00      0.000     0.000     0.000     0.000       75   Kernel#is_a? 
  0.00      0.000     0.000     0.000     0.000       58   Gem::Specification#licenses= 
  0.00      0.000     0.000     0.000     0.000        2   Array#- 
  0.00      0.000     0.000     0.000     0.000       38   Gem::Requirement#== 
  0.00      0.000     0.000     0.000     0.000       20   Gem::Dependency#== 
  0.00      0.000     0.000     0.000     0.000       15   Module#extend_object 
  0.00      0.000     0.000     0.000     0.000       73   Module#private 
  0.00      0.000     0.000     0.000     0.000       60   Kernel#proc 
  0.00      0.000     0.000     0.000     0.000       48   <Class::Pry::Command>#banner 
  0.00      0.000     0.000     0.000     0.000        5   <Class::File>#expand_path 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Hash>#[] 
  0.00      0.000     0.000     0.000     0.000       12   MatchData#end 
  0.00      0.011     0.000     0.000     0.011       12   Pry::CommandSet#[] 
  0.00      0.000     0.000     0.000     0.000       15   Kernel#extend 
  0.00      0.000     0.000     0.000     0.000       20   Module#alias_method 
